id,url,name,description,ranking,category
129,https://globalaccess.bowvalleycollege.ca/learners/readers.php,Bow Valley College - Readers,🚂 Amazing resource to practice reading and listening interactively,⭐⭐⭐⭐⭐,reading
130,https://www.learnenglishfeelgood.com/readingcomprehension.html,Learn English Feel Good – Reading Comprehension,📔📚💯 Many different topics with interactive questions to check comprehension,⭐⭐⭐,reading
131,https://www.englishclub.com/reading/,English Club – Reading,,⭐⭐⭐,reading
132,https://www.5minuteenglish.com/reading.htm,5 Minute English – Reading Lessons,📖💯🔖 Gives you important vocabulary to heed before each text ,⭐⭐⭐,reading
133,https://simple.wikipedia.org/wiki/Main_Page,Simple English Wikipedia,🐼 Read Wiki Articles in Simpler English,⭐⭐⭐,reading
134,https://linguapress.com/advanced.htm,LinguaPress – Advanced Reading,📖 Gives questions and quizzes for each text,⭐⭐,reading
135,https://linguapress.com/inter.htm,LinguaPress – Intermediate Reading,📖 Gives questions and quizzes for each text,⭐⭐,reading
