id,url,name,description,ranking,category
123,https://youglish.com/,Youglish - Learn new Vocabulary and Pronunciation with YouTube videos and subtitles,💚🙋 One of my Absolute Favorites!! Amazing resource,⭐⭐⭐⭐⭐,pronunciation
124,https://rachelsenglish.com/,Rachel's English Official Website,🇺🇸🔊 Great YouTube Channel for learning American English,⭐⭐⭐⭐,pronunciation
125,https://youtube.com/playlist?list=PLMR3lYBIrUzgvI51gOKyjzjsWwkN7rDbp&si=7Hm7TSm6Rzgsi02h,7esl - English Pronunciation YouTube Playlist,,⭐⭐⭐⭐,pronunciation
126,https://www.youtube.com/user/rachelsenglish/videos,Rachel's English YouTube Videos,🇺🇸🔊 Great YouTube Channel for learning American English,⭐⭐⭐⭐,pronunciation
127,https://englishpost.org/english-pronunciation/,English Post - Pronunciation,🎬🗣️ Lost of videos for different sounds,⭐⭐⭐,pronunciation
128,https://www.youtube.com/playlist?list=PLMR3lYBIrUzgvI51gOKyjzjsWwkN7rDbp&si=o8RxcZPQe-YtWiL_,7ESL - English Pronunciation Youtube Playlist,,⭐⭐⭐,pronunciation
